Channel 1,Channel 2,Channel 3,Channel 4,Classification
-1000.0,557.6171875,-899.90234375,-777.83203125,0
-337.890625,-945.80078125,757.8125,370.1171875,0
-814.453125,-181.15234375,-809.5703125,-1000.0,0
474.12109375,-942.3828125,-958.49609375,-631.8359375,0
-1000.0,186.03515625,525.87890625,993.1640625,0
-766.6015625,-863.76953125,-807.12890625,819.82421875,0
831.0546875,207.51953125,-118.65234375,-720.21484375,0
947.75390625,-1000.0,-1000.0,-1000.0,0
-570.3125,-225.5859375,-52.734375,194.82421875,0
-1000.0,979.98046875,-754.8828125,-771.97265625,0
88.37890625,565.91796875,239.2578125,-23.92578125,0
-761.23046875,-863.76953125,-1000.0,-1000.0,0
100.5859375,-588.37890625,-239.74609375,-202.63671875,0
-1000.0,752.44140625,-780.2734375,-787.59765625,0
-214.84375,885.7421875,419.43359375,270.5078125,0
-784.1796875,-470.703125,-1000.0,-1000.0,0
272.4609375,-804.6875,-556.15234375,-337.890625,0
-1000.0,471.6796875,-987.79296875,-813.96484375,0
-436.03515625,-897.94921875,898.4375,471.19140625,0
-861.328125,-46.875,-616.2109375,-1000.0,0
572.265625,-994.62890625,-1000.0,-796.875,0
-998.53515625,1.953125,327.1484375,775.87890625,0
-899.90234375,-914.0625,-766.6015625,987.79296875,0
618.1640625,323.73046875,17.578125,-514.6484375,0
-898.92578125,-1000.0,-1000.0,-1000.0,0
-330.56640625,-371.09375,-160.15625,68.359375,0
-1000.0,893.5546875,-769.53125,-763.18359375,0
-83.984375,711.9140625,259.27734375,98.6328125,0
-770.5078125,-698.73046875,-1000.0,-1000.0,0
251.46484375,-668.45703125,-288.0859375,-214.35546875,0
-1000.0,672.36328125,-803.7109375,-784.1796875,0
-230.46875,977.5390625,529.296875,272.4609375,0
-777.34375,-338.37890625,-1000.0,-1000.0,0
271.484375,-878.41796875,-702.63671875,-436.03515625,0
-1000.0,336.42578125,863.28125,-860.3515625,0
-528.80859375,-885.7421875,-970.703125,567.3828125,0
-916.50390625,23.92578125,-428.7109375,-986.81640625,0
661.1328125,-1000.0,-1000.0,-937.98828125,0
-909.1796875,-81.0546875,180.6640625,551.26953125,0
-1000.0,-946.77734375,-749.0234375,-876.953125,0
366.2109375,438.96484375,135.25390625,-306.640625,0
-801.26953125,-959.9609375,-1000.0,-1000.0,0
-141.6015625,-387.6953125,-208.984375,-65.91796875,0
-1000.0,919.43359375,-772.94921875,-767.578125,0
-182.12890625,737.79296875,281.73828125,228.02734375,0
-786.62109375,-665.0390625,-1000.0,-1000.0,0
264.16015625,-714.84375,-358.3984375,-228.02734375,0
-1000.0,608.88671875,-844.23828125,-779.296875,0
-234.86328125,997.0703125,639.6484375,271.97265625,0
-777.83203125,-279.296875,-946.77734375,-1000.0,0
370.60546875,-925.78125,-833.984375,-535.15625,0
-1000.0,217.28515625,695.3125,-922.8515625,0
-624.0234375,-879.39453125,-866.69921875,672.36328125,0
-993.1640625,156.73828125,-243.65234375,-891.11328125,0
802.734375,-1000.0,-1000.0,-1000.0,0
-738.28125,-173.828125,42.96875,335.44921875,0
-1000.0,-987.79296875,-747.55859375,-797.8515625,0
181.15234375,536.62109375,207.51953125,-135.25390625,0
-764.6484375,-881.34765625,-1000.0,-1000.0,0
20.5078125,-560.546875,-233.3984375,-179.6875,0
-1000.0,768.5546875,-776.85546875,-785.64453125,0
-207.03125,851.07421875,354.00390625,263.671875,0
-784.66796875,-517.08984375,-1000.0,-1000.0,0
270.01953125,-812.01171875,-473.14453125,-234.86328125,0
-1000.0,459.47265625,-924.31640625,-777.83203125,0
-337.890625,-892.08984375,807.6171875,369.140625,0
-813.4765625,-67.87109375,-747.0703125,-1000.0,0
470.21484375,-978.02734375,-992.1875,-642.08984375,0
-1000.0,82.03125,481.4453125,976.5625,0
-844.7265625,-883.30078125,-796.38671875,835.9375,0
693.84765625,301.26953125,-86.9140625,-701.171875,0
-958.0078125,-1000.0,-1000.0,-1000.0,0
-439.94140625,-318.84765625,-86.9140625,188.96484375,0
-1000.0,941.40625,-759.765625,-770.99609375,0
28.3203125,632.8125,246.58203125,-17.08984375,0
-761.23046875,-800.29296875,-1000.0,-1000.0,0
137.20703125,-610.3515625,-242.67578125,-203.125,0
-1000.0,733.3984375,-781.73828125,-787.109375,0
-218.26171875,926.26953125,440.4296875,270.5078125,0
-782.71484375,-406.73828125,-1000.0,-1000.0,0
272.4609375,-830.078125,-569.82421875,-337.890625,0
-1000.0,399.90234375,998.046875,-814.453125,0
-459.47265625,-887.6953125,918.45703125,471.6796875,0
-873.53515625,9.765625,-587.40234375,-1000.0,0
587.40234375,-1000.0,-1000.0,-787.59765625,0
-963.8671875,-50.29296875,310.546875,783.69140625,0
-979.00390625,-944.82421875,-762.20703125,995.60546875,0
471.6796875,381.8359375,42.48046875,-499.51171875,0
-829.1015625,-983.3984375,-1000.0,-1000.0,0
-226.07421875,-422.36328125,-165.52734375,62.5,0
-1000.0,859.375,-768.5546875,-761.71875,0
-86.9140625,723.14453125,259.765625,111.328125,0
-766.6015625,-678.22265625,-1000.0,-1000.0,0
251.46484375,-693.84765625,-299.31640625,-215.8203125,0
-1000.0,623.53515625,-809.5703125,-783.203125,0
-230.46875,-996.09375,550.29296875,272.4609375,0
-778.3203125,-278.80859375,-1000.0,-1000.0,0
270.99609375,-904.296875,-717.28515625,-436.03515625,0
-1000.0,253.41796875,839.35546875,-860.83984375,0
-568.359375,-880.859375,-941.40625,573.73046875,0
-958.0078125,115.72265625,-376.953125,-984.86328125,0
729.98046875,-1000.0,-1000.0,-933.59375,0
-818.359375,-154.296875,163.57421875,556.640625,0
-1000.0,-986.328125,-746.58203125,-871.58203125,0
249.51171875,479.4921875,149.90234375,-294.921875,0
-780.76171875,-933.59375,-1000.0,-1000.0,0
-86.9140625,-497.0703125,-216.30859375,-64.453125,0
-1000.0,821.2890625,-773.92578125,-766.6015625,0
-196.77734375,794.921875,292.96875,232.91015625,0
-786.62109375,-596.19140625,-1000.0,-1000.0,0
265.13671875,-750.0,-376.953125,-228.515625,0
-1000.0,552.734375,-855.46875,-778.80859375,0
-235.3515625,-954.58984375,666.50390625,271.484375,0
-777.83203125,-192.3828125,-924.31640625,-1000.0,0
365.72265625,-949.70703125,-846.6796875,-527.83203125,0
-1000.0,180.6640625,680.17578125,-923.828125,0
-706.0546875,-871.09375,-856.93359375,690.91796875,0
885.25390625,185.05859375,-219.7265625,-867.67578125,0
910.15625,-1000.0,-1000.0,-1000.0,0
-616.2109375,-231.4453125,25.87890625,327.1484375,0
-1000.0,969.7265625,-748.046875,-793.45703125,0
140.625,565.4296875,214.35546875,-121.09375,0
-765.625,-860.83984375,-1000.0,-1000.0,0
24.4140625,-575.68359375,-234.375,-184.08203125,0
-1000.0,758.30078125,-776.3671875,-785.64453125,0
-206.54296875,869.140625,364.74609375,263.671875,0
-785.64453125,-489.2578125,-1000.0,-1000.0,0
270.99609375,-809.5703125,-477.5390625,-234.375,0
-1000.0,444.3359375,-920.41015625,-777.83203125,0
-359.86328125,-930.6640625,794.921875,368.1640625,0
-823.73046875,-104.4921875,-762.20703125,-1000.0,0
491.69921875,-986.81640625,-992.1875,-656.25,0
-1000.0,26.3671875,470.703125,952.63671875,0
-874.51171875,-921.875,-789.0625,862.79296875,0
654.296875,313.96484375,-60.05859375,-668.45703125,0
-937.98828125,-1000.0,-1000.0,-1000.0,0
-417.48046875,-325.1953125,-88.37890625,174.31640625,0
-1000.0,925.78125,-757.8125,-768.5546875,0
27.83203125,678.7109375,249.51171875,-2.44140625,0
-760.7421875,-740.72265625,-1000.0,-1000.0,0
137.20703125,-649.4140625,-247.55859375,-204.58984375,0
-1000.0,683.10546875,-783.69140625,-786.62109375,0
-218.26171875,915.52734375,449.21875,270.5078125,0
0.0,-409.66796875,-1000.0,-1000.0,0
0.0,-871.09375,-597.65625,-337.890625,0
0.0,336.9140625,973.14453125,-814.453125,0
0.0,-898.4375,940.4296875,478.515625,0
0.0,-0.9765625,-563.4765625,-1000.0,0
0.0,-1000.0,-1000.0,-811.03515625,0
0.0,-28.3203125,306.640625,749.0234375,0
0.0,-917.96875,-760.25390625,-984.375,0
0.0,386.23046875,54.19921875,-474.12109375,0
0.0,-982.91015625,-1000.0,-1000.0,0
0.0,-431.640625,-170.8984375,54.6875,0
0.0,860.3515625,-769.04296875,-760.7421875,0
-87.40234375,721.19140625,260.25390625,121.09375,0
-765.625,-690.4296875,-1000.0,-1000.0,0
